,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Unclassified Methanomicrobiaceae,0,3,1,1,1,6,1,2,0,9,2,2,0,5,0,2,5,5,2,0,2,2,2,1,3,3,0,0,3,5,3,2
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Unclassified Methanoregulaceae,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Unclassified Methanospirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Unclassified Methanomicrobiales;,2,2,4,4,0,1,1,4,1,3,0,1,0,1,1,0,2,5,3,2,0,1,1,0,6,1,2,2,0,1,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosaetaceae;Unclassified Methanosaetaceae,0,1,1,0,0,0,1,3,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,1,1
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanimicrococcus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Unclassified Methanosarcinaceae,0,2,1,1,0,1,1,0,1,0,4,2,0,2,0,0,0,5,2,3,0,2,2,1,5,6,1,0,3,5,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Methermicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methermicoccaceae;Unclassified Methermicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Unclassified Methanosarcinales;,0,1,0,5,0,1,4,1,1,1,1,3,0,1,0,1,2,1,1,0,0,2,3,0,0,2,3,3,1,1,0,0
Archaea;Euryarchaeota;Methanomicrobia;Unclassified Methanomicrobia;;,1,1,1,2,0,0,1,0,0,2,0,1,0,1,1,1,0,1,1,1,0,2,2,0,1,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Unclassified Thermococcaceae,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,1,0,0,2,0,1,0,0,1,0,0,0,1
Archaea;Euryarchaeota;Thermococci;Thermococcales;Unclassified Thermococcales;,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;BSLdp215;Thermoplasmatales,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;BSLdp215;Unclassified BSLdp215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Deep Sea Hydrothermal Vent Gp 2;Unclassified Deep Sea Hydrothermal Vent Gp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis;Thermogymnomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Family Incertae Sedis;Unclassified Family Incertae Sedis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Unclassified Ferroplasmaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Methanomassiliicoccus;Methanomassiliicoccus,0,0,1,2,0,0,5,0,0,0,3,0,0,1,0,0,0,1,0,1,0,1,2,2,0,1,0,2,0,0,2,3
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Methanomassiliicoccus;Unclassified Methanomassiliicoccus,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Terrestrial Miscellaneous Gp;Unclassified Terrestrial Miscellaneous Gp,0,0,0,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Unclassified Thermoplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Unclassified Thermoplasmatales;,1,18,35,19,5,20,50,12,0,15,26,29,1,25,15,19,1,19,37,8,7,20,30,3,8,8,13,7,4,11,11,7
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;archaeon PY-11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;archaeon PY-2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;archaeon PY-9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;methanogenic archaeon CRM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;methanogenic archaeon DCM1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;vadinCA11 gut group;Unclassified vadinCA11 gut group,0,1,8,9,1,2,8,2,0,5,6,2,0,4,1,2,0,2,5,0,2,1,6,0,0,2,6,2,0,1,2,2
Archaea;Euryarchaeota;Unclassified Euryarchaeota;;;,7,33,43,19,6,32,47,40,2,17,36,20,2,25,18,17,16,44,47,12,8,26,46,9,15,25,12,23,17,24,12,16
Archaea;Nanoarchaeota;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Nanoarchaeum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Archaea;Nanoarchaeota;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Unclassified Family Incertae Sedis,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Marine Group I;Candidatus Nitrosoarchaeum;Candidatus Nitrosoarchaeum koreensis MY1;Unclassified Candidatus Nitrosoarchaeum koreensis MY1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Marine Group I;Cenarchaeales;Cenarchaeaceae;Cenarchaeum,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Marine Group I;Unclassified Marine Group I;;,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea;Thaumarchaeota;Soil Crenarchaeotic Group;Unclassified Soil Crenarchaeotic Group;;,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Archaea;Thaumarchaeota;Unclassified Thaumarchaeota;;;,49,103,136,219,82,102,144,198,123,110,160,180,168,74,198,171,30,93,153,115,68,104,125,122,20,112,284,186,52,84,176,151
Archaea;Unclassified Archaea;;;;,15,22,48,54,25,33,53,36,31,37,72,76,33,30,68,47,9,24,61,37,33,41,47,42,10,32,87,86,16,28,68,52
Bacteria;Acidobacteria;Acidobacteria;11-24;Acidobacteria bacterium Ellin7246;Unclassified Acidobacteria bacterium Ellin7246,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,2,0,1,0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidicapsa,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Acidobacterium,8,15,4,6,4,4,5,3,1,11,13,10,5,6,7,5,8,13,11,8,3,3,7,6,10,17,3,11,5,7,10,10
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Candidatus Koribacter,6,8,5,3,6,6,5,9,5,7,8,8,6,2,4,5,4,10,8,7,3,5,7,4,3,5,8,3,2,2,9,3
Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Edaphobacter,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
